lottery_round,game_number,a_best,a_best_ball_range,a_worst,a_worst_ball_range,b_best,b_best_ball_range,b_worst,b_worst_ball_range
1,1,40,30%,10,70%,68,10%,5,90%
1,2,40,,10,,75,,5,
1,3,40,,10,,83,,5,
1,4,40,,10,,93,,5,
1,5,40,,10,,106,,5,
1,6,40,,10,,125,,5,
1,7,40,,10,,150,,5,
1,8,40,,10,,185,,5,
1,9,40,,10,,220,,5,
1,10,40,,10,,300,,5,
1,11,40,,10,,400,,5,
1,12,40,,10,,600,,5,
1,13,40,,10,,1000,,5,
1,14,40,,10,,1700,,5,
2,15,40,90%,30,10%,54,70%,5,30%
2,16,40,,30,,56,,5,
2,17,40,,30,,58,,5,
2,18,40,,30,,60,,5,
2,19,40,,30,,62,,5,
2,20,40,,30,,65,,5,
2,21,40,,30,,68,,5,
2,22,40,,30,,72,,5,
2,23,40,,30,,77,,5,
2,24,40,,30,,83,,5,
2,25,40,,30,,90,,5,
2,26,40,,30,,100,,5,
2,27,40,,30,,110,,5,
2,28,40,,30,,130,,5,
3,29,25,50%,-4,50%,30,50%,-21,50%
3,30,4,,-4,,30,,-21,
3,31,1,,-4,,30,,-21,
3,32,1,,-4,,30,,-16,
3,33,1,,-8,,30,,-16,
3,34,1,,-8,,30,,-14,
3,35,1,,-8,,30,,-11,
